-3,-2,-1,0,1,2,3
"95,282","100,055","104,828","109,602","114,375","119,148","123,921"
"95,708","100,514","105,32","110,126","114,932","119,738","124,543"
"96,13","100,968","105,807","110,645","115,484","120,322","125,161"
"96,547","101,418","106,289","111,16","116,031","120,902","125,773"
"96,963","101,865","106,767","111,67","116,572","121,474","126,376"
"97,372","102,306","107,241","112,175","117,11","122,044","126,979"
"97,78","102,745","107,711","112,677","117,642","122,608","127,574"
"98,184","103,181","108,177","113,174","118,171","123,167","128,164"
"98,585","103,612","108,64","113,667","118,695","123,722","128,75"
"98,982","104,04","109,098","114,156","119,215","124,273","129,331"
"99,375","104,464","109,553","114,642","119,731","124,82","129,909"
"99,766","104,885","110,005","115,124","120,244","125,364","130,483"
"100,157","105,306","110,455","115,604","120,753","125,902","131,051"
"100,546","105,724","110,903","116,081","121,26","126,438","131,616"
"100,93","106,139","111,348","116,557","121,766","126,975","132,184"
"101,32","106,557","111,794","117,031","122,268","127,505","132,743"
"101,705","106,971","112,238","117,504","122,771","128,037","133,304"
"102,089","107,385","112,681","117,977","123,273","128,569","133,865"
"102,476","107,8","113,125","118,449","123,773","129,097","134,422"
"102,859","108,213","113,567","118,921","124,275","129,628","134,982"
"103,246","108,628","114,01","119,393","124,775","130,157","135,539"
"103,633","109,043","114,454","119,865","125,275","130,686","136,097"
"104,02","109,459","114,898","120,337","125,777","131,216","136,655"
"104,41","109,877","115,344","120,81","126,277","131,744","137,211"
"104,798","110,294","115,789","121,284","126,78","132,275","137,77"
"105,19","110,713","116,236","121,759","127,282","132,805","138,328"
"105,578","111,13","116,682","122,234","127,786","133,338","138,889"
"105,971","111,551","117,13","122,71","128,289","133,869","139,449"
"106,368","111,974","117,581","123,187","128,793","134,399","140,005"
"106,762","112,396","118,03","123,665","129,299","134,933","140,567"
"107,157","112,819","118,481","124,144","129,806","135,468","141,13"
"107,556","113,245","118,934","124,623","130,312","136,002","141,691"
"107,956","113,672","119,388","125,104","130,821","136,537","142,253"
"108,358","114,101","119,844","125,587","131,33","137,073","142,816"
"108,76","114,53","120,3","126,071","131,841","137,611","143,381"
"109,163","114,961","120,758","126,556","132,353","138,151","143,948"
"109,568","115,393","121,218","127,042","132,867","138,692","144,517"
"109,977","115,828","121,679","127,53","133,381","139,233","145,084"
"110,388","116,265","122,143","128,02","133,897","139,775","145,652"
"110,8","116,703","122,607","128,511","134,415","140,318","146,222"
"111,213","117,143","123,073","129,004","134,934","140,864","146,794"
"111,627","117,584","123,541","129,498","135,454","141,411","147,368"
"112,046","118,029","124,011","129,993","135,975","141,958","147,94"
"112,467","118,475","124,483","130,49","136,498","142,506","148,514"
"112,885","118,92","124,954","130,989","137,024","143,058","149,093"
"113,312","119,371","125,43","131,49","137,549","143,608","149,667"
"113,737","119,822","125,906","131,991","138,076","144,161","150,246"
"114,162","120,273","126,384","132,494","138,605","144,716","150,826"
"114,593","120,728","126,864","132,999","139,134","145,269","151,405"
"115,025","121,185","127,345","133,505","139,665","145,824","151,984"
"115,458","121,643","127,827","134,012","140,196","146,381","152,566"
"115,892","122,101","128,311","134,52","140,73","146,939","153,149"
"116,331","122,564","128,797","135,03","141,263","147,496","153,729"
"116,767","123,025","129,283","135,541","141,799","148,057","154,315"
"117,209","123,49","129,772","136,053","142,335","148,616","154,898"
"117,655","123,959","130,263","136,567","142,871","149,175","155,479"
"118,099","124,427","130,754","137,082","143,41","149,738","156,065"
"118,544","124,896","131,247","137,599","143,95","150,302","156,653"
"118,994","125,369","131,743","138,117","144,491","150,865","157,239"
"119,446","125,843","132,24","138,636","145,033","151,43","157,826"
"119,904","126,322","132,74","139,158","145,575","151,993","158,411"
"120,358","126,799","133,24","139,68","146,121","152,562","159,002"
"120,819","127,281","133,743","140,205","146,667","153,129","159,591"
"121,281","127,764","134,248","140,731","147,215","153,698","160,182"
"121,744","128,249","134,754","141,259","147,764","154,269","160,774"
"122,21","128,736","135,263","141,789","148,316","154,842","161,369"
"122,68","129,227","135,774","142,321","148,867","155,414","161,961"
"123,152","129,719","136,286","142,853","149,42","155,987","162,554"
"123,626","130,213","136,8","143,387","149,975","156,562","163,149"
"124,1","130,707","137,315","143,922","150,53","157,137","163,745"
"124,574","131,202","137,83","144,458","151,085","157,713","164,341"
"125,053","131,7","138,346","144,993","151,639","158,286","164,932"
"125,532","132,198","138,863","145,528","152,193","158,858","165,524"
"126,011","132,695","139,378","146,062","152,746","159,43","166,114"
"126,493","133,193","139,894","146,595","153,296","159,997","166,698"
"126,968","133,688","140,407","147,126","153,845","160,565","167,284"
"127,447","134,183","140,919","147,655","154,391","161,127","167,863"
"127,923","134,675","141,428","148,18","154,933","161,686","168,438"
"128,396","135,164","141,933","148,702","155,471","162,24","169,009"
"128,869","135,653","142,436","149,22","156,003","162,787","169,57"
"129,334","136,134","142,933","149,732","156,532","163,331","170,13"
"129,799","136,612","143,426","150,239","157,052","163,866","170,679"
"130,258","137,085","143,912","150,739","157,566","164,393","171,22"
"130,712","137,552","144,392","151,233","158,073","164,913","171,753"
"131,163","138,015","144,867","151,718","158,57","165,421","172,273"
"131,603","138,467","145,331","152,195","159,059","165,923","172,787"
"132,04","138,914","145,788","152,663","159,537","166,412","173,286"
"132,463","139,349","146,235","153,121","160,006","166,892","173,778"
"132,882","139,777","146,673","153,568","160,463","167,358","174,253"
"133,292","140,196","147,1","154,004","160,908","167,812","174,716"
"133,692","140,605","147,517","154,429","161,341","168,253","175,166"
"134,087","141,006","147,924","154,842","161,761","168,679","175,597"
"134,467","141,393","148,318","155,244","162,169","169,095","176,02"
"134,837","141,769","148,701","155,633","162,565","169,497","176,429"
"135,201","142,138","149,074","156,01","162,946","169,883","176,819"
"135,55","142,492","149,433","156,375","163,316","170,258","177,199"
"135,893","142,838","149,782","156,727","163,671","170,616","177,561"
"136,225","143,172","150,12","157,067","164,014","170,961","177,908"
"136,547","143,496","150,445","157,394","164,343","171,291","178,24"
"136,853","143,805","150,756","157,708","164,66","171,612","178,564"
"137,153","144,105","151,058","158,01","164,963","171,915","178,868"
"137,442","144,395","151,347","158,3","165,252","172,205","179,157"
"137,721","144,673","151,625","158,577","165,529","172,481","179,433"
"137,99","144,941","151,892","158,842","165,793","172,744","179,695"
"138,243","145,194","152,145","159,096","166,047","172,998","179,949"
"138,492","145,441","152,389","159,338","166,287","173,236","180,184"
"138,731","145,677","152,623","159,569","166,515","173,461","180,407"
"138,961","145,903","152,846","159,789","166,732","173,675","180,617"
"139,181","146,12","153,059","159,998","166,937","173,877","180,816"
"139,387","146,324","153,261","160,197","167,134","174,07","181,007"
"139,59","146,522","153,454","160,386","167,318","174,249","181,181"
"139,784","146,711","153,638","160,564","167,491","174,418","181,345"
"139,965","146,888","153,81","160,733","167,656","174,579","181,502"
"140,142","147,059","153,976","160,893","167,809","174,726","181,643"
"140,307","147,219","154,131","161,043","167,955","174,867","181,779"
"140,469","147,374","154,279","161,184","168,09","174,995","181,9"
"140,619","147,518","154,418","161,318","168,217","175,117","182,016"
"140,762","147,655","154,549","161,442","168,336","175,23","182,123"
"140,898","147,785","154,672","161,56","168,447","175,334","182,221"
"141,032","147,911","154,79","161,669","168,548","175,427","182,306"
"141,156","148,028","154,9","161,772","168,644","175,516","182,388"
"141,273","148,138","155,003","161,867","168,732","175,597","182,462"
"141,38","148,239","155,098","161,956","168,815","175,674","182,533"
"141,486","148,337","155,188","162,039","168,89","175,741","182,592"
"141,588","148,431","155,273","162,116","168,959","175,802","182,645"
"141,684","148,519","155,353","162,188","169,023","175,857","182,692"
"141,771","148,599","155,427","162,254","169,082","175,91","182,737"
"141,859","148,678","155,497","162,315","169,134","175,953","182,772"
"141,937","148,749","155,56","162,372","169,183","175,995","182,806"
"142,012","148,816","155,62","162,424","169,228","176,032","182,836"
"142,088","148,883","155,677","162,472","169,266","176,061","182,855"
