-3,-2,-1,0,1,2,3
"44,2","46,1",48,"49,9","51,8","53,7","55,6"
"48,9","50,8","52,8","54,7","56,7","58,6","60,6"
"52,4","54,4","56,4","58,4","60,4","62,4","64,4"
"55,3","57,3","59,4","61,4","63,5","65,5","67,6"
"57,6","59,7","61,8","63,9",66,68,"70,1"
"59,6","61,7","63,8","65,9",68,"70,1","72,2"
"61,2","63,3","65,5","67,6","69,8","71,9",74
"62,7","64,8",67,"69,2","71,3","73,5","75,7"
64,"66,2","68,4","70,6","72,8",75,"77,2"
"65,2","67,5","69,7",72,"74,2","76,5","78,7"
"66,4","68,7",71,"73,3","75,6","77,9","80,1"
"67,6","69,9","72,2","74,5","76,9","79,2","81,5"
"68,6",71,"73,4","75,7","78,1","80,5","82,9"
"69,6","72,1","74,5","76,9","79,3","81,8","84,2"
"70,6","73,1","75,6",78,"80,5",83,"85,5"
"71,6","74,1","76,6","79,1","81,7","84,2","86,7"
"72,5",75,"77,6","80,2","82,8","85,4",88
"73,3",76,"78,6","81,2","83,9","86,5","89,2"
"74,2","76,9","79,6","82,3",85,"87,7","90,4"
75,"77,7","80,5","83,2",86,"88,8","91,5"
"75,8","78,6","81,4","84,2",87,"89,8","92,6"
"76,5","79,4","82,3","85,1",88,"90,9","93,8"
"77,2","80,2","83,1",86,89,"91,9","94,9"
78,81,"83,9","86,9","89,9","92,9","95,9"
78,81,"84,1","87,1","90,2","93,2","96,3"
"78,6","81,7","84,9",88,"91,1","94,2","97,3"
"79,3","82,5","85,6","88,8",92,"95,2","98,3"
"79,9","83,1","86,4","89,6","92,9","96,1","99,3"
"80,5","83,8","87,1","90,4","93,7",97,"100,3"
"81,1","84,5","87,8","91,2","94,5","97,9","101,2"
"81,7","85,1","88,5","91,9","95,3","98,7","102,1"
"82,3","85,7","89,2","92,7","96,1","99,6",103
"82,8","86,4","89,9","93,4","96,9","100,4","103,9"
"83,4","86,9","90,5","94,1","97,6","101,2","104,8"
"83,9","87,5","91,1","94,8","98,4",102,"105,6"
"84,4","88,1","91,8","95,4","99,1","102,7","106,4"
85,"88,7","92,4","96,1","99,8","103,5","107,2"
"85,5","89,2",93,"96,7","100,5","104,2",108
86,"89,8","93,6","97,4","101,2",105,"108,8"
"86,5","90,3","94,2",98,"101,8","105,7","109,5"
87,"90,9","94,7","98,6","102,5","106,4","110,3"
"87,5","91,4","95,3","99,2","103,2","107,1",111
88,"91,9","95,9","99,9","103,8","107,8","111,7"
"88,4","92,4","96,4","100,4","104,5","108,5","112,5"
"88,9",93,97,101,"105,1","109,1","113,2"
"89,4","93,5","97,5","101,6","105,7","109,8","113,9"
"89,8",94,"98,1","102,2","106,3","110,4","114,6"
"90,3","94,4","98,6","102,8","106,9","111,1","115,2"
"90,7","94,9","99,1","103,3","107,5","111,7","115,9"
"91,2","95,4","99,7","103,9","108,1","112,4","116,6"
"91,6","95,9","100,2","104,4","108,7",113,"117,3"
"92,1","96,4","100,7",105,"109,3","113,6","117,9"
"92,5","96,9","101,2","105,6","109,9","114,2","118,6"
93,"97,4","101,7","106,1","110,5","114,9","119,2"
"93,4","97,8","102,3","106,7","111,1","115,5","119,9"
"93,9","98,3","102,8","107,2","111,7","116,1","120,6"
"94,3","98,8","103,3","107,8","112,3","116,7","121,2"
"94,7","99,3","103,8","108,3","112,8","117,4","121,9"
"95,2","99,7","104,3","108,9","113,4",118,"122,6"
"95,6","100,2","104,8","109,4",114,"118,6","123,2"
"96,1","100,7","105,3",110,"114,6","119,2","123,9"
