-3,-2,-1,0,1,2,3
"10,1","11,1","12,2","13,3","14,6","16,1","17,7"
"10,8",12,"13,2","14,6",16,"17,5","19,1"
"11,8",13,"14,3","15,8","17,3",19,"20,7"
"12,4","13,6","14,9","16,4","17,9","19,7","21,5"
"12,7","13,9","15,2","16,7","18,3",20,22
"12,9","14,1","15,4","16,8","18,4","20,2","22,2"
13,"14,1","15,5","16,9","18,5","20,3","22,3"
13,"14,2","15,5","16,9","18,5","20,3","22,3"
13,"14,1","15,4","16,8","18,4","20,2","22,2"
"12,9","14,1","15,3","16,7","18,3","20,1","22,1"
"12,9",14,"15,2","16,6","18,2","19,9","21,9"
"12,8","13,9","15,1","16,5",18,"19,8","21,8"
"12,7","13,8",15,"16,4","17,9","19,6","21,6"
"12,6","13,7","14,9","16,2","17,7","19,5","21,4"
"12,6","13,6","14,8","16,1","17,6","19,3","21,3"
"12,5","13,5","14,7",16,"17,5","19,2","21,1"
"12,4","13,5","14,6","15,9","17,4","19,1",21
"12,4","13,4","14,5","15,8","17,3","18,9","20,9"
"12,3","13,3","14,4","15,7","17,2","18,8","20,8"
"12,3","13,3","14,4","15,7","17,1","18,8","20,7"
"12,2","13,2","14,3","15,6",17,"18,7","20,6"
"12,2","13,2","14,3","15,5",17,"18,6","20,5"
"12,2","13,1","14,2","15,5","16,9","18,5","20,4"
"12,2","13,1","14,2","15,4","16,9","18,5","20,4"
"12,4","13,3","14,4","15,7","17,1","18,7","20,6"
"12,4","13,3","14,4","15,7","17,1","18,7","20,6"
"12,3","13,3","14,4","15,6",17,"18,7","20,6"
"12,3","13,3","14,4","15,6",17,"18,6","20,5"
"12,3","13,3","14,3","15,6",17,"18,6","20,5"
"12,3","13,2","14,3","15,6",17,"18,6","20,4"
"12,3","13,2","14,3","15,5","16,9","18,5","20,4"
"12,2","13,2","14,3","15,5","16,9","18,5","20,4"
"12,2","13,2","14,3","15,5","16,9","18,5","20,4"
"12,2","13,1","14,2","15,5","16,9","18,5","20,3"
"12,2","13,1","14,2","15,4","16,8","18,5","20,3"
"12,1","13,1","14,2","15,4","16,8","18,4","20,3"
"12,1","13,1","14,2","15,4","16,8","18,4","20,3"
"12,1","13,1","14,1","15,4","16,8","18,4","20,3"
"12,1",13,"14,1","15,4","16,8","18,4","20,3"
12,13,"14,1","15,3","16,8","18,4","20,3"
12,13,"14,1","15,3","16,8","18,4","20,3"
12,13,"14,1","15,3","16,8","18,4","20,4"
12,"12,9",14,"15,3","16,8","18,4","20,4"
"11,9","12,9",14,"15,3","16,8","18,4","20,4"
"11,9","12,9",14,"15,3","16,8","18,5","20,4"
"11,9","12,9",14,"15,3","16,8","18,5","20,5"
"11,9","12,9",14,"15,3","16,8","18,5","20,5"
"11,8","12,8",14,"15,3","16,8","18,5","20,5"
"11,8","12,8",14,"15,3","16,8","18,5","20,6"
"11,8","12,8","13,9","15,3","16,8","18,5","20,6"
"11,8","12,8","13,9","15,3","16,8","18,6","20,7"
"11,8","12,8","13,9","15,3","16,8","18,6","20,7"
"11,7","12,8","13,9","15,2","16,8","18,6","20,7"
"11,7","12,7","13,9","15,3","16,8","18,6","20,8"
"11,7","12,7","13,9","15,3","16,8","18,7","20,8"
"11,7","12,7","13,9","15,3","16,8","18,7","20,9"
"11,7","12,7","13,9","15,3","16,8","18,7","20,9"
"11,7","12,7","13,9","15,3","16,9","18,7",21
"11,7","12,7","13,9","15,3","16,9","18,8",21
"11,6","12,7","13,9","15,3","16,9","18,8",21
"11,6","12,7","13,9","15,3","16,9","18,8","21,1"
