-3,-2,-1,0,1,2,3
2,"2,4","2,8","3,2","3,7","4,2","4,8"
"2,7","3,2","3,6","4,2","4,8","5,5","6,2"
"3,4","3,9","4,5","5,1","5,8","6,6","7,5"
4,"4,5","5,2","5,8","6,6","7,5","8,5"
"4,4",5,"5,7","6,4","7,3","8,2","9,3"
"4,8","5,4","6,1","6,9","7,8","8,8",10
"5,1","5,7","6,5","7,3","8,2","9,3","10,6"
"5,3",6,"6,8","7,6","8,6","9,8","11,1"
"5,6","6,3",7,"7,9",9,"10,2","11,6"
"5,8","6,5","7,3","8,2","9,3","10,5",12
"5,9","6,7","7,5","8,5","9,6","10,9","12,4"
"6,1","6,9","7,7","8,7","9,9","11,2","12,8"
"6,3",7,"7,9","8,9","10,1","11,5","13,1"
"6,4","7,2","8,1","9,2","10,4","11,8","13,5"
"6,6","7,4","8,3","9,4","10,6","12,1","13,8"
"6,7","7,6","8,5","9,6","10,9","12,4","14,1"
"6,9","7,7","8,7","9,8","11,1","12,6","14,5"
7,"7,9","8,9",10,"11,4","12,9","14,8"
"7,2","8,1","9,1","10,2","11,6","13,2","15,1"
"7,3","8,2","9,2","10,4","11,8","13,5","15,4"
"7,5","8,4","9,4","10,6","12,1","13,7","15,7"
"7,6","8,6","9,6","10,9","12,3",14,16
"7,8","8,7","9,8","11,1","12,5","14,3","16,4"
"7,9","8,9",10,"11,3","12,8","14,6","16,7"
"8,1",9,"10,2","11,5",13,"14,8",17
"8,2","9,2","10,3","11,7","13,3","15,1","17,3"
"8,4","9,4","10,5","11,9","13,5","15,4","17,7"
"8,5","9,5","10,7","12,1","13,7","15,7",18
"8,6","9,7","10,9","12,3",14,16,"18,3"
"8,8","9,8","11,1","12,5","14,2","16,2","18,7"
"8,9",10,"11,2","12,7","14,4","16,5",19
9,"10,1","11,4","12,9","14,7","16,8","19,3"
"9,1","10,3","11,6","13,1","14,9","17,1","19,6"
"9,3","10,4","11,7","13,3","15,1","17,3",20
"9,4","10,5","11,9","13,5","15,4","17,6","20,3"
"9,5","10,7",12,"13,7","15,6","17,9","20,6"
"9,6","10,8","12,2","13,9","15,8","18,1","20,9"
"9,7","10,9","12,4",14,16,"18,4","21,3"
"9,8","11,1","12,5","14,2","16,3","18,7","21,6"
"9,9","11,2","12,7","14,4","16,5",19,22
"10,1","11,3","12,8","14,6","16,7","19,2","22,3"
"10,2","11,5",13,"14,8","16,9","19,5","22,7"
"10,3","11,6","13,1",15,"17,2","19,8",23
"10,4","11,7","13,3","15,2","17,4","20,1","23,4"
"10,5","11,8","13,4","15,3","17,6","20,4","23,7"
"10,6",12,"13,6","15,5","17,8","20,7","24,1"
"10,7","12,1","13,7","15,7","18,1","20,9","24,5"
"10,8","12,2","13,9","15,9","18,3","21,2","24,8"
"10,9","12,3",14,"16,1","18,5","21,5","25,2"
11,"12,4","14,2","16,3","18,8","21,8","25,5"
"11,1","12,6","14,3","16,4",19,"22,1","25,9"
"11,2","12,7","14,5","16,6","19,2","22,4","26,3"
"11,3","12,8","14,6","16,8","19,4","22,6","26,6"
"11,4","12,9","14,8",17,"19,7","22,9",27
"11,5",13,"14,9","17,2","19,9","23,2","27,4"
"11,6","13,2","15,1","17,3","20,1","23,5","27,7"
"11,7","13,3","15,2","17,5","20,3","23,8","28,1"
"11,8","13,4","15,3","17,7","20,6","24,1","28,5"
"11,9","13,5","15,5","17,9","20,8","24,4","28,8"
12,"13,6","15,6",18,21,"24,6","29,2"
"12,1","13,7","15,8","18,2","21,2","24,9","29,5"
